 Date,XLV Open,XLV Low,XLV High,XLV Close,XLV Adj. Close
4/9/2020,95.17,93.97,95.35,94.83,94.83
4/8/2020,91.36,90.22,94.86,94.31,94.31
4/7/2020,93.65,90.49,93.82,90.58,90.58
4/6/2020,89.54,89.14,91.85,91.33,91.33
4/3/2020,87.29,85.8,88.12,86.78,86.78
4/2/2020,84.78,83.93,87.77,87.57,87.57
4/1/2020,85.62,84.39,86.39,85.21,85.21
3/31/2020,89.05,87.64,89.53,88.58,88.58
3/30/2020,86.52,86.51,89.14,88.97,88.97
3/27/2020,84.34,84.28,87.23,84.99,84.99
3/26/2020,82.17,82.01,87.31,86.85,86.85
3/25/2020,79.84,78.87,84.09,81.44,81.44
3/24/2020,78.15,77.57,80.53,80.37,80.37
3/23/2020,78.2,73.54,78.31,74.62,74.62
3/20/2020,82.56,78.26,83.41,79.09,78.71
3/19/2020,82.63,80.94,83.85,82.25,81.85
3/18/2020,82,79.53,84.89,83.97,83.56
3/17/2020,83.01,81.95,87.13,86.85,86.43
3/16/2020,82.12,80.28,86.63,81.72,81.33
3/13/2020,88.29,83.75,90.46,90.66,90.22
3/12/2020,85.59,82.5,89.3,84.78,84.37
3/11/2020,92.56,90.01,93.22,91.62,91.18
3/10/2020,94.3,90.5,94.96,95.26,94.8
3/9/2020,90.95,89.58,93.82,92.1,91.66
3/6/2020,94.53,94.14,97.03,97.15,96.68
3/5/2020,97.38,96.09,98.71,97.67,97.2
3/4/2020,96.91,96.71,99.67,99.99,99.51
3/3/2020,96.72,92.82,98.41,94.54,94.08
3/2/2020,92.19,91.87,96.63,96.95,96.48
2/28/2020,90.91,89.55,92.21,92.61,92.16
2/27/2020,95.61,93.35,96.87,93.82,93.37
2/26/2020,97.2,96.44,98.34,97.12,96.65
2/25/2020,100.04,96.32,100.26,97.13,96.66
2/24/2020,100.44,99.21,101.12,100.17,99.69
2/21/2020,102.47,102.11,103.03,103.43,102.93
2/20/2020,103.3,101.94,103.4,103.37,102.87
2/19/2020,103.33,103.23,103.69,104.04,103.54
2/18/2020,103.43,102.72,103.56,103.56,103.06
2/14/2020,103.46,102.92,103.5,103.93,103.43
2/13/2020,103.46,103.14,103.78,103.85,103.35
2/12/2020,104.09,103.42,104.33,104.34,103.84
2/11/2020,103.45,103.24,103.8,104.21,103.71
2/10/2020,102.16,102.08,103.09,103.59,103.09
2/7/2020,103.36,102.38,103.45,103.04,102.54
2/6/2020,103.74,102.9,103.74,103.85,103.35
2/5/2020,101.79,101.78,103.62,103.76,103.26
2/4/2020,100.8,100.78,101.72,101.8,101.31
2/3/2020,99.35,99.35,100.27,100.04,99.56
1/31/2020,100.27,98.33,100.35,99.14,98.66
1/30/2020,100.66,99.81,100.73,101.16,100.67
1/29/2020,101.79,101.39,102.14,101.9,101.41
1/28/2020,101.49,101.21,102.08,102.18,101.69
1/27/2020,100.73,100.59,101.58,101.68,101.19
1/24/2020,103.82,101.71,103.87,102.46,101.97
1/23/2020,104.05,102.98,104.19,104.2,103.7
1/22/2020,104.32,104.08,104.57,104.73,104.22
1/21/2020,103.75,103.71,104.33,104.6,104.09
