" Date","SPX Open","SPX Low","SPX High","SPX Close","SPX Adj. Close"
03-20-2020,"2,431.94 ","2,295.56 ","2,453.01 ","2,304.92 ","2,304.92 "
03-19-2020,"2,393.48 ","2,319.78 ","2,466.97 ","2,409.39 ","2,409.39 "
03-18-2020,"2,436.50 ","2,280.52 ","2,453.57 ","2,398.10 ","2,398.10 "
03-17-2020,"2,425.66 ","2,367.04 ","2,553.93 ","2,529.19 ","2,529.19 "
03-16-2020,"2,508.59 ","2,380.94 ","2,562.98 ","2,386.13 ","2,386.13 "
03-13-2020,"2,569.99 ","2,492.37 ","2,711.33 ","2,711.02 ","2,711.02 "
03-12-2020,"2,630.86 ","2,478.86 ","2,660.95 ","2,480.64 ","2,480.64 "
03-11-2020,"2,825.60 ","2,707.22 ","2,825.60 ","2,741.38 ","2,741.38 "
03-10-2020,"2,813.48 ","2,734.00 ","2,882.59 ","2,882.23 ","2,882.23 "
03-09-2020,"2,863.89 ","2,734.43 ","2,863.89 ","2,746.56 ","2,746.56 "
03-06-2020,"2,954.20 ","2,901.54 ","2,985.93 ","2,972.37 ","2,972.37 "
03-05-2020,"3,075.70 ","2,999.83 ","3,083.04 ","3,023.94 ","3,023.94 "
03-04-2020,"3,045.75 ","3,034.38 ","3,130.97 ","3,130.12 ","3,130.12 "
03-03-2020,"3,096.46 ","2,976.63 ","3,136.72 ","3,003.37 ","3,003.37 "
03-02-2020,"2,974.28 ","2,945.19 ","3,090.96 ","3,090.23 ","3,090.23 "
02-28-2020,"2,916.90 ","2,855.84 ","2,959.72 ","2,954.22 ","2,954.22 "
02-27-2020,"3,062.54 ","2,977.39 ","3,097.07 ","2,978.76 ","2,978.76 "
02-26-2020,"3,139.90 ","3,108.99 ","3,182.51 ","3,116.39 ","3,116.39 "
02-25-2020,"3,238.94 ","3,118.77 ","3,246.99 ","3,128.21 ","3,128.21 "
02-24-2020,"3,257.61 ","3,214.65 ","3,259.81 ","3,225.89 ","3,225.89 "
02-21-2020,"3,360.50 ","3,328.45 ","3,360.76 ","3,337.75 ","3,337.75 "
02-20-2020,"3,380.45 ","3,341.02 ","3,389.15 ","3,373.23 ","3,373.23 "
02-19-2020,"3,380.39 ","3,378.83 ","3,393.52 ","3,386.15 ","3,386.15 "
02-18-2020,"3,369.04 ","3,355.61 ","3,375.01 ","3,370.29 ","3,370.29 "
02-14-2020,"3,378.08 ","3,366.15 ","3,380.69 ","3,380.16 ","3,380.16 "
02-13-2020,"3,365.90 ","3,360.52 ","3,385.09 ","3,373.94 ","3,373.94 "
02-12-2020,"3,370.50 ","3,369.72 ","3,381.47 ","3,379.45 ","3,379.45 "
02-11-2020,"3,365.87 ","3,352.72 ","3,375.63 ","3,357.75 ","3,357.75 "
02-10-2020,"3,318.28 ","3,317.77 ","3,352.26 ","3,352.09 ","3,352.09 "
02-07-2020,"3,335.54 ","3,322.12 ","3,341.42 ","3,327.71 ","3,327.71 "
02-06-2020,"3,344.92 ","3,334.39 ","3,347.96 ","3,345.78 ","3,345.78 "
02-05-2020,"3,324.91 ","3,313.75 ","3,337.58 ","3,334.69 ","3,334.69 "
02-04-2020,"3,294.50 ","3,269.73 ","3,306.74 ","3,296.44 ","3,296.44 "
02-03-2020,"3,262.29 ","3,235.00 ","3,268.48 ","3,247.84 ","3,247.84 "
01-31-2020,"3,267.11 ","3,214.28 ","3,285.20 ","3,226.98 ","3,226.98 "
01-30-2020,"3,258.65 ","3,242.07 ","3,283.70 ","3,282.70 ","3,282.70 "
01-29-2020,"3,280.32 ","3,271.55 ","3,293.58 ","3,275.36 ","3,275.36 "
01-28-2020,"3,258.44 ","3,243.43 ","3,285.93 ","3,280.01 ","3,280.01 "
01-27-2020,"3,252.90 ","3,234.69 ","3,267.75 ","3,245.56 ","3,245.56 "
01-24-2020,"3,330.18 ","3,281.41 ","3,337.21 ","3,295.65 ","3,295.65 "
01-23-2020,"3,310.19 ","3,301.73 ","3,326.88 ","3,324.63 ","3,324.63 "
01-22-2020,"3,334.84 ","3,319.96 ","3,337.48 ","3,324.47 ","3,324.47 "
