 Date,CL1 Open,CL1 Low,CL1 High,CL1 Close,CL1 Adj. Close
4/9/2020,23.24,23.24,23.24,23.24,23.24
4/8/2020,24.3,23.74,26.45,25.09,25.09
4/7/2020,26.34,23.54,27.24,23.63,23.63
4/6/2020,26.09,25.28,28.24,26.08,26.08
4/3/2020,24.81,23.52,29.13,28.34,28.34
4/2/2020,21.22,20.76,27.39,25.32,25.32
4/1/2020,20.1,19.9,21.55,20.31,20.31
3/31/2020,20.23,20.01,21.89,20.48,20.48
3/30/2020,20.36,19.27,20.85,20.1,20.1
3/27/2020,23.11,20.89,23.37,21.51,21.51
3/26/2020,24.27,22.38,24.64,22.6,22.6
3/25/2020,24.61,22.91,25.21,24.32,24.32
3/24/2020,24.37,23.09,25.15,24.1,24.1
3/23/2020,21.63,21.62,24.06,23.36,23.36
3/20/2020,25.71,22.63,27.77,22.63,22.63
3/19/2020,22.3,21.36,27.71,25.22,25.22
3/18/2020,26.49,20.06,27.17,20.37,20.37
3/17/2020,29.13,26.62,30.3,26.86,26.86
3/16/2020,30.57,28.11,31.57,28.57,28.57
3/13/2020,31.09,30.63,34,32.9,32.9
3/12/2020,33.19,30.02,33.54,30.99,30.99
3/11/2020,34.07,32.56,36.28,33.11,33.11
3/10/2020,32.79,31.78,34.99,34.78,34.78
3/9/2020,32.52,27.34,34.85,30.21,30.21
3/6/2020,46.21,41.05,46.37,41.56,41.56
3/5/2020,47.37,45.65,47.56,45.89,45.89
3/4/2020,47.04,46.65,48.4,47.06,47.06
3/3/2020,47.84,46.48,48.65,47.25,47.25
3/2/2020,44.56,44.43,47.31,46.77,46.77
2/28/2020,46.8,43.91,46.83,44.76,44.76
2/27/2020,48.44,45.92,48.63,47.09,47.09
2/26/2020,50.12,48.22,50.49,48.73,48.73
2/25/2020,51.47,49.72,52.12,49.9,49.9
2/24/2020,52.13,50.38,52.33,51.43,51.43
2/21/2020,53.56,52.58,53.91,53.44,53.44
2/20/2020,53.69,53.22,54.58,53.78,53.78
2/19/2020,52.16,52.16,53.5,53.29,53.29
2/18/2020,52.23,50.88,52.41,52.05,52.05
2/17/2020,52.19,51.84,52.43,52.42,52.42
2/14/2020,51.5,51.34,52.41,52.05,52.05
2/13/2020,51.55,50.66,51.88,51.42,51.42
2/12/2020,50.15,50.09,51.82,51.17,51.17
2/11/2020,49.78,49.63,50.64,49.94,49.94
2/10/2020,49.84,49.33,50.53,49.57,49.57
2/7/2020,51.51,50.05,51.53,50.38,50.38
2/6/2020,51.09,50.33,52.25,50.95,50.95
2/5/2020,49.7,49.63,51.96,50.75,50.75
2/4/2020,49.87,49.43,51.45,49.61,49.61
2/3/2020,51.11,49.83,51.95,50.11,50.11
1/31/2020,52.94,50.93,53.44,51.53,51.53
1/30/2020,53.12,51.57,53.27,52.14,52.14
1/29/2020,53.84,52.74,54.47,53.33,53.33
1/28/2020,52.89,52.68,53.93,53.48,53.48
1/27/2020,52.64,52.05,53.5,53.14,53.14
1/24/2020,55.74,53.85,56.02,54.49,54.49
1/23/2020,56.11,54.77,56.27,55.59,55.59
1/22/2020,58.38,56.03,58.45,56.31,56.31
1/21/2020,58.76,57.65,58.93,58.37,58.37
